year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	9081	Concordia-St. Paul	-	Opponent Totals	-	-	-	-	-	625:00	65	176	36.93	20	57	35.09	49	76	64.47	199	66.33	34	97	131	43.67	31	59	23	6	70	3	1	 	 
2016	12280	8935	Converse	-	Totals	-	-	-	-	-	200:00	34	73	46.58	3	14	21.43	9	12	75.00	80	80.00	11	26	37	37.00	24	19	14	1	16	1	 	 	 
2016	12280	8935	Converse	-	Opponent Totals	-	-	-	-	-	200:00	29	64	45.31	10	27	37.04	11	17	64.71	79	79.00	11	29	40	40.00	18	24	13	2	13	1	 	 	 
2016	12280	30174	Daemen	-	Totals	-	-	-	-	-	600:00	75	214	35.05	19	83	22.89	31	46	67.39	200	66.67	46	109	155	51.67	40	51	28	10	54	3	 	 	 
2016	12280	30174	Daemen	-	Opponent Totals	-	-	-	-	-	600:00	73	210	34.76	15	47	31.91	38	58	65.52	199	66.33	36	98	134	44.67	32	44	27	8	47	3	2	 	 
2016	12280	174	Davis & Elkins	-	Totals	-	-	-	-	-	800:00	77	230	33.48	26	100	26.00	34	53	64.15	214	53.50	50	101	151	37.75	40	82	33	8	71	4	1	 	 
2016	12280	174	Davis & Elkins	-	Opponent Totals	-	-	-	-	-	800:00	102	250	40.80	22	80	27.50	60	82	73.17	286	71.50	59	107	166	41.50	62	55	47	8	61	4	1	 	 
2016	12280	186	Dist. Columbia	-	Totals	-	-	-	-	-	400:00	43	123	34.96	10	41	24.39	29	45	64.44	125	62.50	43	45	88	44.00	23	39	12	 	34	2	 	 	 
2016	12280	186	Dist. Columbia	-	Opponent Totals	-	-	-	-	-	400:00	47	104	45.19	8	29	27.59	29	46	63.04	131	65.50	19	44	63	31.50	29	38	18	3	41	2	 	 	 
2016	12280	30095	Dixie St.	-	Totals	-	-	-	-	-	400:00	43	129	33.33	7	29	24.14	32	53	60.38	125	62.50	35	43	78	39.00	22	60	17	10	58	2	4	 	 
2016	12280	30095	Dixie St.	-	Opponent Totals	-	-	-	-	-	400:00	67	148	45.27	13	43	30.23	58	78	74.36	205	102.50	48	57	105	52.50	46	38	30	10	42	2	2	 	 
2016	12280	30118	Dominican (CA)	-	Totals	-	-	-	-	-	600:00	98	210	46.67	19	59	32.20	34	64	53.12	249	83.00	44	86	130	43.33	40	36	27	18	51	3	2	 	 
2016	12280	30118	Dominican (CA)	-	Opponent Totals	-	-	-	-	-	600:00	59	172	34.30	22	66	33.33	42	71	59.15	182	60.67	35	84	119	39.67	31	58	17	6	61	3	3	 	 
2016	12280	8956	Dominican (NY)	-	Totals	-	-	-	-	-	600:00	76	186	40.86	14	41	34.15	40	58	68.97	206	68.67	41	65	106	35.33	39	52	30	11	62	3	2	 	 
2016	12280	8956	Dominican (NY)	-	Opponent Totals	-	-	-	-	-	599:00	73	166	43.98	20	45	44.44	55	71	77.46	221	73.67	38	80	118	39.33	49	62	25	9	56	3	2	 	 
2016	12280	1057	Drury	-	Totals	-	-	-	-	-	200:00	25	48	52.08	8	15	53.33	26	33	78.79	84	84.00	6	28	34	34.00	11	16	6	5	26	1	2	 	 
2016	12280	1057	Drury	-	Opponent Totals	-	-	-	-	-	200:00	24	63	38.10	5	15	33.33	16	25	64.00	69	69.00	14	20	34	34.00	15	14	7	5	28	1	1	 	 
2016	12280	8965	East Central	-	Totals	-	-	-	-	-	400:00	40	111	36.04	19	56	33.93	9	15	60.00	108	54.00	29	36	65	32.50	21	31	19	2	39	2	1	 	 
2016	12280	8965	East Central	-	Opponent Totals	-	-	-	-	-	400:00	49	95	51.58	7	24	29.17	21	35	60.00	126	63.00	17	44	61	30.50	23	36	17	 	25	2	 	 	 
2016	12280	197	East Stroudsburg	-	Totals	-	-	-	-	-	601:00	66	199	33.17	12	59	20.34	33	51	64.71	177	59.00	41	81	122	40.67	35	49	21	13	68	3	2	 	 
2016	12280	197	East Stroudsburg	-	Opponent Totals	-	-	-	-	-	600:00	79	186	42.47	19	54	35.19	52	73	71.23	229	76.33	39	98	137	45.67	55	49	25	17	57	3	1	 	 
2016	12280	206	Eastern N.M.	-	Totals	-	-	-	-	-	800:00	99	269	36.80	23	76	30.26	47	74	63.51	268	67.00	53	108	161	40.25	55	53	35	14	97	4	2	 	 
2016	12280	206	Eastern N.M.	-	Opponent Totals	-	-	-	-	-	800:00	86	227	37.89	29	76	38.16	74	105	70.48	275	68.75	48	129	177	44.25	55	70	23	13	87	4	 	 	 
2016	12280	208	Eckerd	-	Totals	-	-	-	-	-	825:00	81	217	37.33	17	71	23.94	52	81	64.20	231	57.75	45	118	163	40.75	39	55	20	4	71	4	1	 	 
2016	12280	208	Eckerd	-	Opponent Totals	-	-	-	-	-	825:00	70	222	31.53	25	86	29.07	42	66	63.64	207	51.75	38	104	142	35.50	33	50	24	4	84	4	2	 	 
2016	12280	209	Edinboro	-	Totals	-	-	-	-	-	800:00	106	254	41.73	27	77	35.06	44	65	67.69	283	70.75	67	111	178	44.50	78	59	24	22	61	4	1	 	 
2016	12280	209	Edinboro	-	Opponent Totals	-	-	-	-	-	800:00	93	243	38.27	16	68	23.53	46	64	71.88	248	62.00	50	88	138	34.50	41	51	30	13	70	4	4	 	 
2016	12280	210	Elizabeth City St.	-	Totals	-	-	-	-	-	400:00	39	112	34.82	9	32	28.12	17	34	50.00	104	52.00	24	34	58	29.00	27	40	13	8	38	2	2	 	 
2016	12280	210	Elizabeth City St.	-	Opponent Totals	-	-	-	-	-	400:00	45	120	37.50	14	44	31.82	42	55	76.36	146	73.00	41	56	97	48.50	24	39	26	7	42	2	 	 	 
2016	12280	9680	Embry-Riddle (FL)	-	Totals	-	-	-	-	-	425:00	52	125	41.60	6	35	17.14	28	35	80.00	138	69.00	22	59	81	40.50	31	41	36	12	36	2	 	 	 
2016	12280	9680	Embry-Riddle (FL)	-	Opponent Totals	-	-	-	-	-	425:00	33	118	27.97	2	18	11.11	16	23	69.57	84	42.00	35	52	87	43.50	6	62	17	2	40	2	2	 	 
2016	12280	30193	Emmanuel (GA)	-	Totals	-	-	-	-	-	400:00	54	118	45.76	15	41	36.59	34	45	75.56	157	78.50	26	66	92	46.00	27	34	12	2	34	2	1	 	 
2016	12280	30193	Emmanuel (GA)	-	Opponent Totals	-	-	-	-	-	400:00	41	125	32.80	8	41	19.51	32	45	71.11	122	61.00	26	41	67	33.50	12	32	15	4	39	2	 	 	 
2016	12280	1071	Emporia St.	-	Totals	-	-	-	-	-	600:00	88	212	41.51	25	78	32.05	37	50	74.00	238	79.33	47	111	158	52.67	42	54	27	13	61	3	2	 	 
2016	12280	1071	Emporia St.	-	Opponent Totals	-	-	-	-	-	600:00	59	181	32.60	15	57	26.32	43	61	70.49	176	58.67	21	81	102	34.00	29	54	19	14	49	3	1	 	 
2016	12280	1072	Erskine	-	Totals	-	-	-	-	-	600:00	68	169	40.24	13	40	32.50	42	62	67.74	191	63.67	39	77	116	38.67	34	62	16	11	80	3	3	 	 
2016	12280	1072	Erskine	-	Opponent Totals	-	-	-	-	-	600:00	81	197	41.12	18	57	31.58	66	94	70.21	246	82.00	55	81	136	45.33	37	39	30	5	56	3	1	 	 
2016	12280	1076	Fairmont St.	-	Totals	-	-	-	-	-	602:00	86	169	50.89	12	51	23.53	36	48	75.00	220	73.33	23	79	102	34.00	47	51	23	6	45	3	1	 	 
2016	12280	1076	Fairmont St.	-	Opponent Totals	-	-	-	-	-	600:00	77	177	43.50	14	48	29.17	18	36	50.00	186	62.00	30	66	96	32.00	39	54	21	2	63	3	2	 	 
2016	12280	223	Fayetteville St.	-	Totals	-	-	-	-	-	800:00	103	237	43.46	20	58	34.48	27	53	50.94	253	63.25	55	92	147	36.75	53	69	30	16	67	4	2	 	 
2016	12280	223	Fayetteville St.	-	Opponent Totals	-	-	-	-	-	800:00	96	231	41.56	20	58	34.48	36	51	70.59	248	62.00	48	90	138	34.50	55	62	26	9	53	4	2	 	 
2016	12280	23157	Felician	-	Totals	-	-	-	-	-	200:00	24	61	39.34	9	17	52.94	4	7	57.14	61	61.00	12	31	43	43.00	13	30	6	6	26	1	2	 	 
2016	12280	23157	Felician	-	Opponent Totals	-	-	-	-	-	200:00	24	69	34.78	5	17	29.41	25	29	86.21	78	78.00	16	26	42	42.00	12	15	14	1	11	1	 	 	 
2016	12280	224	Ferris St.	-	Totals	-	-	-	-	-	400:00	44	124	35.48	6	30	20.00	19	39	48.72	113	56.50	25	51	76	38.00	24	44	21	7	42	2	2	 	 
2016	12280	224	Ferris St.	-	Opponent Totals	-	-	-	-	-	400:00	45	122	36.89	14	40	35.00	43	51	84.31	147	73.50	30	65	95	47.50	23	39	17	5	38	2	 	 	 
2016	12280	1079	Findlay	-	Totals	-	-	-	-	-	600:00	93	191	48.69	25	56	44.64	30	49	61.22	241	80.33	45	96	141	47.00	51	62	28	10	63	3	1	 	 
2016	12280	1079	Findlay	-	Opponent Totals	-	-	-	-	-	600:00	58	174	33.33	15	61	24.59	29	48	60.42	160	53.33	29	62	91	30.33	26	59	18	2	56	3	 	 	 
2016	12280	233	Fla. Southern	-	Totals	-	-	-	-	-	800:00	130	253	51.38	25	52	48.08	52	75	69.33	337	84.25	46	105	151	37.75	70	55	37	9	69	4	 	 	 
2016	12280	233	Fla. Southern	-	Opponent Totals	-	-	-	-	-	800:00	95	232	40.95	22	67	32.84	45	78	57.69	257	64.25	48	84	132	33.00	47	67	26	7	74	4	1	 	 
2016	12280	30092	Flagler	-	Totals	-	-	-	-	-	400:00	47	131	35.88	8	33	24.24	24	37	64.86	126	63.00	28	49	77	38.50	24	18	23	3	33	2	2	 	 
2016	12280	30092	Flagler	-	Opponent Totals	-	-	-	-	-	400:00	38	113	33.63	7	45	15.56	25	33	75.76	108	54.00	30	62	92	46.00	29	39	12	8	42	2	 	 	 
2016	12280	230	Florida Tech	-	Totals	-	-	-	-	-	600:00	65	171	38.01	10	28	35.71	62	86	72.09	202	67.33	46	73	119	39.67	30	44	30	11	45	3	 	 	 
2016	12280	230	Florida Tech	-	Opponent Totals	-	-	-	-	-	600:00	64	164	39.02	20	62	32.26	28	41	68.29	176	58.67	34	70	104	34.67	42	55	14	13	71	3	3	 	 
2016	12280	9011	Fort Hays St.	-	Totals	-	-	-	-	-	800:00	90	256	35.16	17	80	21.25	59	81	72.84	256	64.00	59	83	142	35.50	43	40	44	4	68	4	1	 	 
2016	12280	9011	Fort Hays St.	-	Opponent Totals	-	-	-	-	-	800:00	69	177	38.98	16	57	28.07	41	51	80.39	195	48.75	27	117	144	36.00	38	99	12	7	83	4	1	 	 
2016	12280	1083	Fort Lewis	-	Totals	-	-	-	-	-	601:00	72	198	36.36	21	65	32.31	44	59	74.58	209	69.67	45	90	135	45.00	44	39	23	4	60	3	 	 	 
2016	12280	1083	Fort Lewis	-	Opponent Totals	-	-	-	-	-	600:00	59	171	34.50	11	55	20.00	35	51	68.63	164	54.67	30	87	117	39.00	33	57	24	5	58	3	1	 	 
2016	12280	237	Fort Valley St.	-	Totals	-	-	-	-	-	800:00	67	256	26.17	13	61	21.31	37	66	56.06	184	46.00	69	96	165	41.25	27	85	44	8	108	4	6	 	 
2016	12280	237	Fort Valley St.	-	Opponent Totals	-	-	-	-	-	800:00	91	229	39.74	19	64	29.69	75	100	75.00	276	69.00	51	129	180	45.00	54	83	41	14	61	4	 	 	 
2016	12280	1085	Francis Marion	-	Totals	-	-	-	-	-	600:00	70	181	38.67	15	34	44.12	53	71	74.65	208	69.33	44	63	107	35.67	30	39	34	7	48	3	 	 	 
2016	12280	1085	Francis Marion	-	Opponent Totals	-	-	-	-	-	600:00	70	163	42.94	19	44	43.18	24	36	66.67	183	61.00	37	74	111	37.00	41	65	19	14	60	3	4	 	 
2016	12280	241	Franklin Pierce	-	Totals	-	-	-	-	-	200:00	21	63	33.33	6	21	28.57	20	23	86.96	68	68.00	18	34	52	52.00	14	18	10	5	17	1	 	 	 
2016	12280	241	Franklin Pierce	-	Opponent Totals	-	-	-	-	-	200:00	19	69	27.54	5	19	26.32	10	14	71.43	53	53.00	19	26	45	45.00	9	17	7	1	19	1	 	 	 
2016	12280	30147	Fresno Pacific	-	Totals	-	-	-	-	-	600:00	49	146	33.56	8	36	22.22	21	35	60.00	127	42.33	20	46	66	22.00	25	58	16	4	46	3	2	 	 
2016	12280	30147	Fresno Pacific	-	Opponent Totals	-	-	-	-	-	600:00	104	199	52.26	18	47	38.30	38	51	74.51	264	88.00	51	89	140	46.67	65	37	33	13	38	3	 	 	 
2016	12280	1097	Ga. Southwestern	-	Totals	-	-	-	-	-	800:00	99	230	43.04	18	62	29.03	68	90	75.56	284	71.00	55	114	169	42.25	53	74	33	16	77	4	 	 	 
2016	12280	1097	Ga. Southwestern	-	Opponent Totals	-	-	-	-	-	799:00	75	227	33.04	20	65	30.77	47	67	70.15	217	54.25	46	87	133	33.25	49	81	31	3	85	4	3	 	 
2016	12280	246	Gannon	-	Totals	-	-	-	-	-	800:00	96	228	42.11	24	72	33.33	75	93	80.65	291	72.75	53	111	164	41.00	59	70	33	12	56	4	 	 	 
2016	12280	246	Gannon	-	Opponent Totals	-	-	-	-	-	800:00	93	250	37.20	26	87	29.89	24	43	55.81	236	59.00	55	86	141	35.25	55	67	32	10	87	4	2	 	 
2016	12280	1096	Georgia College	-	Totals	-	-	-	-	-	599:00	65	180	36.11	13	54	24.07	41	64	64.06	184	61.33	36	88	124	41.33	40	57	26	7	51	3	 	 	 
2016	12280	1096	Georgia College	-	Opponent Totals	-	-	-	-	-	600:00	62	188	32.98	17	65	26.15	37	54	68.52	178	59.33	40	90	130	43.33	28	61	30	2	64	3	2	 	 
2016	12280	9004	Georgian Court	-	Totals	-	-	-	-	-	600:00	61	180	33.89	23	65	35.38	18	31	58.06	163	54.33	43	73	116	38.67	33	67	12	5	54	3	5	 	 
2016	12280	9004	Georgian Court	-	Opponent Totals	-	-	-	-	-	600:00	107	228	46.93	25	71	35.21	32	54	59.26	271	90.33	60	80	140	46.67	69	32	30	4	40	3	 	 	 
2016	12280	1098	Glenville St.	-	Totals	-	-	-	-	-	400:00	70	187	37.43	29	97	29.90	24	40	60.00	193	96.50	39	56	95	47.50	40	48	41	2	52	2	1	 	 
2016	12280	1098	Glenville St.	-	Opponent Totals	-	-	-	-	-	400:00	67	136	49.26	8	19	42.11	40	66	60.61	182	91.00	29	86	115	57.50	37	76	19	1	36	2	1	 	 
2016	12280	8366	Goldey-Beacom	-	Totals	-	-	-	-	-	800:00	92	240	38.33	28	77	36.36	29	37	78.38	241	60.25	39	93	132	33.00	45	65	20	10	59	4	1	 	 
2016	12280	8366	Goldey-Beacom	-	Opponent Totals	-	-	-	-	-	800:00	124	266	46.62	23	70	32.86	38	56	67.86	309	77.25	57	115	172	43.00	61	47	32	16	45	4	 	 	 
2016	12280	262	Grand Valley St.	-	Totals	-	-	-	-	-	601:00	82	204	40.20	28	83	33.73	32	44	72.73	224	74.67	46	76	122	40.67	43	33	37	6	57	3	 	 	 
2016	12280	262	Grand Valley St.	-	Opponent Totals	-	-	-	-	-	601:00	60	159	37.74	18	53	33.96	38	47	80.85	176	58.67	27	83	110	36.67	33	61	15	10	53	3	 	 	 
2016	12280	1116	Harding	-	Totals	-	-	-	-	-	400:00	45	108	41.67	12	33	36.36	27	40	67.50	129	64.50	16	65	81	40.50	24	35	10	8	45	2	 	 	 
2016	12280	1116	Harding	-	Opponent Totals	-	-	-	-	-	400:00	38	115	33.04	11	45	24.44	21	31	67.74	108	54.00	20	49	69	34.50	17	34	10	2	36	2	 	 	 
2016	12280	2697	Hawaii Hilo	-	Totals	-	-	-	-	-	600:00	44	152	28.95	13	55	23.64	26	42	61.90	127	42.33	25	58	83	27.67	28	74	13	4	55	3	 	 	 
2016	12280	2697	Hawaii Hilo	-	Opponent Totals	-	-	-	-	-	600:00	98	182	53.85	24	69	34.78	39	61	63.93	259	86.33	38	90	128	42.67	61	56	40	5	64	3	1	 	 
2016	12280	2696	Hawaii Pacific	-	Totals	-	-	-	-	-	600:00	67	159	42.14	20	54	37.04	33	58	56.90	187	62.33	34	72	106	35.33	49	54	16	4	47	3	 	 	 
2016	12280	2696	Hawaii Pacific	-	Opponent Totals	-	-	-	-	-	600:00	73	184	39.67	15	60	25.00	20	31	64.52	181	60.33	41	65	106	35.33	37	48	20	11	61	3	3	 	 
2016	12280	1123	Henderson St.	-	Totals	-	-	-	-	-	600:00	82	180	45.56	14	42	33.33	56	84	66.67	234	78.00	40	82	122	40.67	33	63	22	11	85	3	7	 	 
2016	12280	1123	Henderson St.	-	Opponent Totals	-	-	-	-	-	600:00	79	203	38.92	18	58	31.03	59	88	67.05	235	78.33	48	69	117	39.00	46	50	24	13	71	3	1	 	 
2016	12280	280	Hillsdale	-	Totals	-	-	-	-	-	400:00	49	128	38.28	14	43	32.56	34	47	72.34	146	73.00	35	51	86	43.00	29	45	32	3	49	2	 	 	 
2016	12280	280	Hillsdale	-	Opponent Totals	-	-	-	-	-	400:00	41	109	37.61	13	38	34.21	21	38	55.26	116	58.00	21	55	76	38.00	33	54	16	3	41	2	 	 	 
2016	12280	1126	Holy Family	-	Totals	-	-	-	-	-	600:00	74	206	35.92	26	66	39.39	38	55	69.09	212	70.67	33	66	99	33.00	55	35	22	2	47	3	2	 	 
2016	12280	1126	Holy Family	-	Opponent Totals	-	-	-	-	-	600:00	85	185	45.95	21	53	39.62	33	49	67.35	224	74.67	41	104	145	48.33	58	60	17	8	67	3	5	 	 
2016	12280	30175	Holy Names	-	Totals	-	-	-	-	-	400:00	37	106	34.91	7	30	23.33	11	15	73.33	92	46.00	19	43	62	31.00	16	38	12	1	39	2	 	 	 
2016	12280	30175	Holy Names	-	Opponent Totals	-	-	-	-	-	400:00	44	99	44.44	1	15	6.67	25	40	62.50	114	57.00	18	51	69	34.50	22	36	23	3	26	2	1	 	 
2016	12280	291	Humboldt St.	-	Totals	-	-	-	-	-	800:00	87	256	33.98	25	70	35.71	52	70	74.29	251	62.75	59	90	149	37.25	56	58	26	9	64	4	 	 	 
2016	12280	291	Humboldt St.	-	Opponent Totals	-	-	-	-	-	800:00	115	259	44.40	21	65	32.31	49	62	79.03	300	75.00	64	115	179	44.75	63	64	34	21	67	4	2	 	 
2016	12280	30050	Ill.-Springfield	-	Totals	-	-	-	-	-	600:00	67	178	37.64	16	68	23.53	25	40	62.50	175	58.33	38	70	108	36.00	49	55	31	10	47	3	 	 	 
2016	12280	30050	Ill.-Springfield	-	Opponent Totals	-	-	-	-	-	599:00	59	158	37.34	9	46	19.57	36	46	78.26	163	54.33	35	78	113	37.67	38	69	28	2	48	3	 	 	 
2016	12280	307	Indiana (PA)	-	Totals	-	-	-	-	-	600:00	84	196	42.86	20	64	31.25	43	55	78.18	231	77.00	43	78	121	40.33	51	43	20	17	59	3	2	 	 
2016	12280	307	Indiana (PA)	-	Opponent Totals	-	-	-	-	-	600:00	69	181	38.12	8	36	22.22	41	61	67.21	187	62.33	39	72	111	37.00	34	51	13	10	59	3	1	 	 
2016	12280	323	Johnson C. Smith	-	Totals	-	-	-	-	-	600:00	95	191	49.74	11	35	31.43	42	77	54.55	243	81.00	46	101	147	49.00	55	68	31	5	59	3	1	 	 
2016	12280	323	Johnson C. Smith	-	Opponent Totals	-	-	-	-	-	600:00	72	210	34.29	24	88	27.27	32	52	61.54	200	66.67	46	70	116	38.67	39	64	25	4	65	3	1	 	 
2016	12280	332	Kentucky St.	-	Totals	-	-	-	-	-	400:00	61	135	45.19	16	45	35.56	28	40	70.00	166	83.00	24	60	84	42.00	38	29	21	6	33	2	 	 	 
2016	12280	332	Kentucky St.	-	Opponent Totals	-	-	-	-	-	400:00	43	129	33.33	13	48	27.08	28	36	77.78	127	63.50	28	52	80	40.00	21	37	13	1	38	2	 	 	 
2016	12280	30051	King (TN)	-	Totals	-	-	-	-	-	825:00	85	218	38.99	22	69	31.88	69	119	57.98	261	65.25	47	118	165	41.25	42	79	34	9	70	4	 	 	 
2016	12280	30051	King (TN)	-	Opponent Totals	-	-	-	-	-	825:00	109	270	40.37	21	75	28.00	24	55	43.64	263	65.75	55	112	167	41.75	49	69	36	11	103	4	5	 	 
2016	12280	339	Kutztown	-	Totals	-	-	-	-	-	400:00	59	140	42.14	10	31	32.26	21	33	63.64	149	74.50	32	60	92	46.00	41	31	15	7	40	2	 	 	 
2016	12280	339	Kutztown	-	Opponent Totals	-	-	-	-	-	400:00	44	124	35.48	10	32	31.25	23	37	62.16	121	60.50	25	55	80	40.00	26	36	15	4	38	2	1	 	 
2016	12280	333	Ky. Wesleyan	-	Totals	-	-	-	-	-	600:00	56	190	29.47	18	71	25.35	47	64	73.44	177	59.00	47	72	119	39.67	20	56	22	4	57	3	 	 	 
2016	12280	333	Ky. Wesleyan	-	Opponent Totals	-	-	-	-	-	600:00	83	191	43.46	23	54	42.59	25	46	54.35	214	71.33	42	94	136	45.33	51	67	27	9	66	3	2	 	 
2016	12280	362	LIU Post	-	Totals	-	-	-	-	-	600:00	66	176	37.50	13	45	28.89	27	54	50.00	172	57.33	40	81	121	40.33	41	63	22	3	63	3	2	 	 
2016	12280	362	LIU Post	-	Opponent Totals	-	-	-	-	-	600:00	72	174	41.38	11	48	22.92	43	64	67.19	198	66.00	33	77	110	36.67	48	53	29	9	57	3	1	 	 
2016	12280	2746	Lake Erie	-	Totals	-	-	-	-	-	800:00	104	279	37.28	22	86	25.58	60	85	70.59	290	72.50	59	108	167	41.75	52	69	52	5	87	4	1	 	 
2016	12280	2746	Lake Erie	-	Opponent Totals	-	-	-	-	-	800:00	90	236	38.14	24	78	30.77	67	97	69.07	271	67.75	52	129	181	45.25	49	97	34	6	83	4	4	 	 
2016	12280	345	Lake Superior St.	-	Totals	-	-	-	-	-	599:00	49	147	33.33	13	71	18.31	20	33	60.61	131	43.67	31	61	92	30.67	38	64	17	2	58	3	1	 	 
2016	12280	345	Lake Superior St.	-	Opponent Totals	-	-	-	-	-	600:00	64	150	42.67	5	29	17.24	45	61	73.77	178	59.33	34	71	105	35.00	34	52	35	6	53	3	1	 	 
2016	12280	1167	Lander	-	Totals	-	-	-	-	-	600:00	77	218	35.32	9	62	14.52	36	62	58.06	199	66.33	62	60	122	40.67	38	42	30	5	44	3	1	 	 
2016	12280	1167	Lander	-	Opponent Totals	-	-	-	-	-	600:00	78	173	45.09	16	48	33.33	23	37	62.16	195	65.00	47	93	140	46.67	49	78	21	12	63	3	1	 	 
2016	12280	347	Lane	-	Totals	-	-	-	-	-	400:00	37	97	38.14	5	23	21.74	32	45	71.11	111	55.50	17	51	68	34.00	13	45	17	3	55	2	2	 	 
2016	12280	347	Lane	-	Opponent Totals	-	-	-	-	-	400:00	45	107	42.06	16	44	36.36	41	66	62.12	147	73.50	17	52	69	34.50	26	28	20	8	40	2	 	 	 
2016	12280	349	Le Moyne	-	Totals	-	-	-	-	-	800:00	110	275	40.00	18	69	26.09	34	59	57.63	272	68.00	81	86	167	41.75	60	60	40	8	81	4	4	 	 
2016	12280	349	Le Moyne	-	Opponent Totals	-	-	-	-	-	800:00	87	210	41.43	29	68	42.65	58	86	67.44	261	65.25	43	95	138	34.50	42	76	22	11	64	4	2	 	 
2016	12280	350	LeMoyne-Owen	-	Totals	-	-	-	-	-	400:00	48	139	34.53	10	28	35.71	14	23	60.87	120	60.00	33	45	78	39.00	24	34	20	3	35	2	 	 	 
2016	12280	350	LeMoyne-Owen	-	Opponent Totals	-	-	-	-	-	401:00	57	125	45.60	5	27	18.52	19	30	63.33	138	69.00	29	61	90	45.00	29	39	17	9	24	2	 	 	 
2016	12280	30013	Lee	-	Totals	-	-	-	-	-	600:00	80	165	48.48	22	53	41.51	40	60	66.67	222	74.00	41	87	128	42.67	54	58	24	10	65	3	3	 	 
2016	12280	30013	Lee	-	Opponent Totals	-	-	-	-	-	600:00	61	163	37.42	23	53	43.40	49	73	67.12	194	64.67	23	52	75	25.00	39	36	26	9	49	3	 	 	 
2016	12280	13302	Lees-McRae	-	Totals	-	-	-	-	-	600:00	59	164	35.98	10	45	22.22	24	57	42.11	152	50.67	29	61	90	30.00	40	59	30	6	54	3	3	 	 
2016	12280	13302	Lees-McRae	-	Opponent Totals	-	-	-	-	-	600:00	81	193	41.97	11	50	22.00	36	56	64.29	209	69.67	57	90	147	49.00	52	59	33	12	55	3	 	 	 
2016	12280	1170	Lenoir-Rhyne	-	Totals	-	-	-	-	-	200:00	23	58	39.66	3	12	25.00	14	18	77.78	63	63.00	11	24	35	35.00	10	17	9	1	21	1	 	 	 
2016	12280	1170	Lenoir-Rhyne	-	Opponent Totals	-	-	-	-	-	201:00	25	59	42.37	4	17	23.53	12	21	57.14	66	66.00	14	26	40	40.00	14	18	10	 	23	1	1	 	 
2016	12280	354	Lewis	-	Totals	-	-	-	-	-	800:00	120	242	49.59	21	55	38.18	52	69	75.36	313	78.25	40	119	159	39.75	65	51	33	18	65	4	 	 	 
2016	12280	354	Lewis	-	Opponent Totals	-	-	-	-	-	800:00	75	235	31.91	25	82	30.49	47	73	64.38	222	55.50	46	94	140	35.00	46	63	25	5	75	4	 	 	 
2016	12280	1174	Limestone	-	Totals	-	-	-	-	-	400:00	58	144	40.28	17	58	29.31	17	26	65.38	150	75.00	32	63	95	47.50	26	18	26	7	33	2	 	 	 
2016	12280	1174	Limestone	-	Opponent Totals	-	-	-	-	-	400:00	38	117	32.48	5	38	13.16	15	29	51.72	96	48.00	23	56	79	39.50	15	37	5	3	31	2	 	 	 
2016	12280	356	Lincoln (MO)	-	Totals	-	-	-	-	-	800:00	107	274	39.05	28	93	30.11	79	95	83.16	321	80.25	66	104	170	42.50	60	57	23	2	83	4	1	 	 
2016	12280	356	Lincoln (MO)	-	Opponent Totals	-	-	-	-	-	800:00	107	258	41.47	22	81	27.16	64	86	74.42	300	75.00	50	99	149	37.25	51	62	30	8	78	4	1	 	 
2016	12280	357	Lincoln (PA)	-	Totals	-	-	-	-	-	600:00	86	181	47.51	11	34	32.35	37	72	51.39	220	73.33	42	90	132	44.00	38	69	19	10	64	3	2	 	 
2016	12280	357	Lincoln (PA)	-	Opponent Totals	-	-	-	-	-	600:00	74	217	34.10	16	71	22.54	56	79	70.89	220	73.33	61	72	133	44.33	36	56	26	11	63	3	1	 	 
2016	12280	1176	Lincoln Memorial	-	Totals	-	-	-	-	-	600:00	78	175	44.57	11	30	36.67	30	45	66.67	197	65.67	55	88	143	47.67	50	81	23	9	62	3	 	 	 
2016	12280	1176	Lincoln Memorial	-	Opponent Totals	-	-	-	-	-	600:00	68	194	35.05	15	52	28.85	29	54	53.70	180	60.00	48	48	96	32.00	37	51	37	9	51	3	3	 	 
2016	12280	30136	Lindenwood (MO)	-	Totals	-	-	-	-	-	600:00	82	173	47.40	21	51	41.18	27	34	79.41	212	70.67	26	64	90	30.00	42	49	35	12	59	3	1	 	 
2016	12280	30136	Lindenwood (MO)	-	Opponent Totals	-	-	-	-	-	600:00	73	165	44.24	15	40	37.50	37	53	69.81	198	66.00	36	66	102	34.00	44	61	34	12	45	3	1	 	 
2016	12280	359	Livingstone	-	Totals	-	-	-	-	-	200:00	21	60	35.00	8	21	38.10	15	22	68.18	65	65.00	19	24	43	43.00	15	25	12	 	19	1	 	 	 
2016	12280	359	Livingstone	-	Opponent Totals	-	-	-	-	-	200:00	26	62	41.94	3	17	17.65	5	10	50.00	60	60.00	13	24	37	37.00	18	27	12	1	20	1	 	 	 
